time,time_after_exec,bytes_sent,bytes_receiv,cpu_occupation_percent
1710936965.4176831,0.0002925395965576172,14986873,386177972,27.9
1710936966.4195354,1.0021448135375977,14986873,386177972,7.3
1710936967.4214978,2.0041072368621826,14986873,386177972,5.9
1710936968.4233792,3.005988597869873,14987424,386178399,11.6
1710936969.4252937,4.007903099060059,14987424,386178399,38.4
1710936970.4271328,5.009742259979248,14987424,386178399,25.4
1710936971.4291646,6.011774063110352,14987424,386178399,11.7
1710936972.4308774,7.013486862182617,14987424,386178399,7.8
1710936973.4331906,8.01579999923706,14987424,386178399,6.8
1710936974.4355233,9.01813268661499,14987424,386178399,7.3
1710936975.4378247,10.020434141159058,14987424,386178399,9.3
1710936976.4395823,11.022191762924194,14987424,386178399,7.6
1710936977.4415238,12.024133205413818,14987424,386178399,6.6
1710936978.4433103,13.025919675827026,14987424,386178399,6.3
1710936979.4453526,14.02796196937561,14987424,386178399,7.1
1710936980.4474027,15.030012130737305,14987618,386178895,9.9
1710936981.4493148,16.0319242477417,14987618,386178895,7.3
1710936982.4510643,17.033673763275146,14987618,386178895,7.1
1710936983.4527853,18.0353946685791,14987724,386178895,6.3
1710936984.4544988,19.037108182907104,14987724,386178895,14.3
